

admin@DESKTOP-CTAGE42 MSYS /d/AlBrowserDownloads/cryptopp600a
mingw32 mingw-w64-i686-lcms 1.19-6
mingw32 mingw-w64-i686-lcms2 2.9-1
mingw32 mingw-w64-i686-lcov 1.12-1
mingw32 mingw-w64-i686-ldns 1.7.0-1
mingw32 mingw-w64-i686-lensfun 0.3.2-4
mingw32 mingw-w64-i686-leptonica 1.75.3-1
mingw32 mingw-w64-i686-lfcbase 1.12.1-1
mingw32 mingw-w64-i686-lfcxml 1.2.5-1
mingw32 mingw-w64-i686-libaacs 0.9.0-1
mingw32 mingw-w64-i686-libao 1.2.2-1
mingw32 mingw-w64-i686-libarchive 3.3.2-1
mingw32 mingw-w64-i686-libart_lgpl 2.3.21-2
mingw32 mingw-w64-i686-libass 0.14.0-1
mingw32 mingw-w64-i686-libassuan 2.5.1-1
mingw32 mingw-w64-i686-libatomic_ops 7.6.4-1
mingw32 mingw-w64-i686-libbdplus 0.1.2-1
mingw32 mingw-w64-i686-libblocksruntime 0.4.1-1
mingw32 mingw-w64-i686-libbluray 1.0.2-1
mingw32 mingw-w64-i686-libbotan 2.6.0-1
mingw32 mingw-w64-i686-libbs2b 3.1.0-1
mingw32 mingw-w64-i686-libbsdf 0.9.4-1
mingw32 mingw-w64-i686-libc++ 5.0.1-3
mingw32 mingw-w64-i686-libc++abi 5.0.1-3
mingw32 mingw-w64-i686-libcaca 0.99.beta19-4
mingw32 mingw-w64-i686-libcddb 1.3.2-4
mingw32 mingw-w64-i686-libcdio 2.0.0-1
mingw32 mingw-w64-i686-libcdio-paranoia 10.2+0.94+2-2
mingw32 mingw-w64-i686-libcdr 0.1.4-2
mingw32 mingw-w64-i686-libcerf 1.5-2
mingw32 mingw-w64-i686-libchamplain 0.12.15-1
mingw32 mingw-w64-i686-libconfig 1.7.2-1
mingw32 mingw-w64-i686-libcroco 0.6.12-1
mingw32 mingw-w64-i686-libcue 2.2.0-1
mingw32 mingw-w64-i686-libdca 0.0.6-1
mingw32 mingw-w64-i686-libdiscid 0.6.2-1
mingw32 mingw-w64-i686-libdsm 0.3.0-1
mingw32 mingw-w64-i686-libdvbpsi 1.3.1-1
mingw32 mingw-w64-i686-libdvdcss 1.4.1-1
mingw32 mingw-w64-i686-libdvdnav 6.0.0-1
mingw32 mingw-w64-i686-libdvdread 6.0.0-1
mingw32 mingw-w64-i686-libebml 1.3.6-1
mingw32 mingw-w64-i686-libelf 0.8.13-3
mingw32 mingw-w64-i686-libepoxy 1.5.2-1
mingw32 mingw-w64-i686-libevent 2.1.8-1
mingw32 mingw-w64-i686-libexif 0.6.21-4
